,stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation,spray_angle,team_abv
139,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-148.33778643506128,354.91000147495674,384.6624598676191,outfield_outer,-17.0,8.0,NNW,-22.682921903477677,TOR
140,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-135.5524679881221,363.8924034385385,388.3196529380749,outfield_outer,-15.3,8.0,NNW,-20.430714592586625,TOR
141,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-122.85280454040824,372.9946556909514,392.7057737765707,outfield_outer,-13.7,8.0,NNW,-18.230270662247246,TOR
142,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-110.0761179123019,381.9893520884998,397.53316445755166,outfield_outer,-12.1,8.0,NNW,-16.075151519322223,TOR
143,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-97.28918177238785,390.96948467565716,402.8924457438854,outfield_outer,-10.5,8.0,NNW,-13.973719164106685,TOR
144,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-83.43162072594609,397.79120344080417,406.44640098276346,outfield_outer,-8.9,8.0,NNW,-11.845358048701673,TOR
145,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-68.06616706385316,400.62021024435785,406.3613612968116,outfield_outer,-7.2,8.0,NNW,-9.642586858761005,TOR
146,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-52.60411326267833,402.8651688172162,406.28504400023985,outfield_outer,-5.6,8.0,NNW,-7.439306437514142,TOR
147,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-37.069041555117195,404.5330074137129,406.22785223196854,outfield_outer,-3.9,8.0,NNW,-5.235628977907793,TOR
148,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-21.48009227280832,405.5879876129914,406.1563862110313,outfield_outer,-2.3,8.0,NNW,-3.031573814817311,TOR
149,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-5.863230070294903,406.0456717,406.0880015134175,outfield_outer,-0.6,8.0,NNW,-0.8272837638481284,TOR
150,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,9.761140366490531,405.97175694190565,406.08908788066697,outfield_outer,1.0,8.0,NNW,1.3773480560754763,TOR
151,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,25.370072158432965,405.2909553176228,406.0842265141499,outfield_outer,2.7,8.0,NNW,3.5818808595822755,TOR
152,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,40.94434126966759,404.0455887158941,406.11485671270447,outfield_outer,4.3,8.0,NNW,5.786369178815411,TOR
153,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,56.45930932750769,402.20173085012067,406.14515374256547,outfield_outer,6.0,8.0,NNW,7.990715915571552,TOR
154,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,71.89548659664919,399.7842585435581,406.1975066050892,outfield_outer,7.6,8.0,NNW,10.194855836143473,TOR
155,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,87.10106915828705,396.42518847209965,405.881172640043,outfield_outer,9.3,8.0,NNW,12.391912311627772,TOR
156,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,100.26771144956896,388.0562468637287,400.8007793022578,outfield_outer,10.9,8.0,NNW,14.487480665251855,TOR
157,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,113.05114482646351,379.0711315268087,395.56982203346746,outfield_outer,12.5,8.0,NNW,16.606264699648715,TOR
158,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,125.82564738385507,370.07333705080543,390.8789689091564,outfield_outer,14.1,8.0,NNW,18.778132142783345,TOR
159,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,138.60075333098712,361.0763757503294,386.7639046613712,outfield_outer,15.7,8.0,NNW,20.99951854027206,TOR
160,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,151.4201275204649,352.14303840036814,383.318111380296,outfield_outer,17.5,8.0,NNW,23.267515451867187,TOR
161,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,163.50641111458754,342.2985635219269,379.34503168586133,outfield_outer,19.1,8.0,NNW,25.53249606076899,TOR
